contract_hash,original_size,success,optimized_size,size_diff,size_diff_percent
26bf5a768b2d307e081f5604b466f2aad9abcd1574def0e0295457cee86fa7b6,2671,true,2154,-517,-19.356046424560088
dddbb6ba2f1598d6de9dab08cd423db017e780f10a733afa871ab90ccde797b1,19122,true,15430,-3692,-19.307603807133145
1c00a45fe5d6c28368a76597d33301a96aa714f8bce25a21717f46ee4ac864c2,18423,true,14888,-3535,-19.187971557292517
b5080a685a1e7af3be47cdb05d2b59034e5364746eeb260ef31894fc374599bb,18834,true,15229,-3605,-19.140915365827755
13e39f947dbc5e59d9747748c2e964a81e654c0c4c471cb683c233080c141ad1,5724,true,4645,-1079,-18.85045422781272
a6bece4966a3a71f5cbb8cf6dbd9b37b683d65817f7ad660d6155dad62382585,2843,true,2310,-533,-18.747801618009145
b2f3ed1c3a8755dd0ad5a2a63e16caead2ec7c570462c2a592989349f8988f53,7164,true,5826,-1338,-18.67671691792295
42222228c2072292b4ceb648cb4e6580e9bca4242d36fd1edcfddbd4c09eef3d,9743,true,7931,-1812,-18.597967771733554
57ab5aaf06f3fa0647ef1dd293a595588f1e5d5c091b92cedd9752d0a9483502,2661,true,2167,-494,-18.56444945509207
6273b6eee1ca533dc40ed557e90dd81825d15ed0a79317bceea79940ade0acaa,5813,true,4734,-1079,-18.56184414243936
aeb3dccc15449f9e6fddfb0bd958b967102cd2095823bb4a9bdf0fde0cb21752,9233,true,7524,-1709,-18.509693490739735
e84be55dca2c36778ce74caf6466b5d747e9f564b17fbfe16f37e20d22b898c7,21681,true,17677,-4004,-18.467782851344495
7c9fec4c3f3e3c50321933cc2aa0ba504575812737a817777c404ae3fa987f5e,9959,true,8125,-1834,-18.415503564614923
